number,value,datetime_start,datetime_complete,duration,params_contrastive_weight,params_d_ff,params_d_model,params_e_layers,params_learning_rate,params_window_size,state
0,0.16015072166919708,2025-06-02 13:05:31.127159,2025-06-02 13:20:02.822191,0 days 00:14:31.695032,0.04762339906222581,512,512,3,5.357843839348753e-05,2,COMPLETE
1,0.1435145139694214,2025-06-02 13:20:02.847242,2025-06-02 13:35:42.764998,0 days 00:15:39.917756,0.07065923273638806,512,512,3,0.0008756471812776874,22,COMPLETE
2,0.2043861746788025,2025-06-02 13:35:42.785075,2025-06-02 13:48:29.990199,0 days 00:12:47.205124,0.05459996766464821,512,512,3,1.0933746727666983e-05,9,COMPLETE
3,0.1681789755821228,2025-06-02 13:48:30.009999,2025-06-02 13:55:27.988677,0 days 00:06:57.978678,0.01185153108334198,512,512,3,0.0008742730002059606,2,COMPLETE
4,0.17935232818126678,2025-06-02 13:55:28.009824,2025-06-02 14:11:10.596515,0 days 00:15:42.586691,0.05441613712874978,512,512,3,2.197626040599792e-05,22,COMPLETE
5,0.15533632040023804,2025-06-02 14:11:10.616111,2025-06-02 14:19:59.387835,0 days 00:08:48.771724,0.07107599028816229,512,512,3,0.00011994305750234554,1,COMPLETE
6,0.1795932799577713,2025-06-02 14:19:59.407522,2025-06-02 14:36:26.027964,0 days 00:16:26.620442,0.059290834165417215,512,512,3,2.2081339217355317e-05,8,COMPLETE
7,0.4897814989089966,2025-06-02 14:36:26.047809,2025-06-02 14:55:42.582646,0 days 00:19:16.534837,0.01567236192075698,512,512,3,0.004453233565973492,10,COMPLETE
8,0.2766687870025635,2025-06-02 14:55:42.602644,2025-06-02 15:05:36.222991,0 days 00:09:53.620347,0.0745218093167397,512,512,3,0.0025940978902616197,21,COMPLETE
9,0.8460891246795654,2025-06-02 15:05:36.243100,2025-06-02 15:18:11.653214,0 days 00:12:35.410114,0.0397823038775118,512,512,3,0.00998553398402149,5,COMPLETE
10,0.16049164533615112,2025-06-02 15:18:11.673382,2025-06-02 15:22:20.952724,0 days 00:04:09.279342,0.025605286880893082,512,512,3,0.0002984663015140675,15,COMPLETE
11,0.16531896591186523,2025-06-02 15:22:20.972712,2025-06-02 15:27:26.483160,0 days 00:05:05.510448,0.0970033517920636,512,512,3,0.00017848843733341078,17,COMPLETE
12,0.14419208467006683,2025-06-02 15:27:26.503425,2025-06-02 15:38:20.504669,0 days 00:10:54.001244,0.02805456599099389,512,512,3,0.0007960661155059733,24,COMPLETE
13,0.14638547599315643,2025-06-02 15:38:20.524989,2025-06-02 15:51:09.360435,0 days 00:12:48.835446,0.0261041119688321,512,512,3,0.0011030258163681759,24,COMPLETE
14,0.15722613036632538,2025-06-02 15:51:09.380822,2025-06-02 15:58:12.928269,0 days 00:07:03.547447,0.03287191830855282,512,512,3,0.0006148853183010782,19,COMPLETE
15,0.3087685704231262,2025-06-02 15:58:12.948304,2025-06-02 16:13:53.232653,0 days 00:15:40.284349,0.01803456144509314,512,512,3,0.0027306893009054188,24,COMPLETE
16,0.15659476816654205,2025-06-02 16:13:53.252474,2025-06-02 16:18:03.681682,0 days 00:04:10.429208,0.021401123232558838,512,512,3,0.0004571259430670164,14,COMPLETE
17,0.15058372914791107,2025-06-02 16:18:03.701750,2025-06-02 16:30:49.157417,0 days 00:12:45.455667,0.03858813057021171,512,512,3,0.0017327797872013306,18,COMPLETE
18,0.16719987988471985,2025-06-02 16:30:49.177051,2025-06-02 16:36:55.645302,0 days 00:06:06.468251,0.08850318727449447,512,512,3,0.000243730971984109,21,COMPLETE
19,0.17248141765594482,2025-06-02 16:36:55.665435,2025-06-02 16:45:51.119982,0 days 00:08:55.454547,0.02918129697372263,512,512,3,8.900207557140669e-05,12,COMPLETE
20,0.5642631649971008,2025-06-02 16:45:51.141228,2025-06-02 16:59:30.625950,0 days 00:13:39.484722,0.01199032493145343,512,512,3,0.007077544600663072,16,COMPLETE
21,0.14957574009895325,2025-06-02 16:59:30.646244,2025-06-02 17:12:21.664945,0 days 00:12:51.018701,0.02249557497333499,512,512,3,0.001159637388048071,24,COMPLETE
22,0.146786630153656,2025-06-02 17:12:21.686070,2025-06-02 17:25:14.425235,0 days 00:12:52.739165,0.032802805325532605,512,512,3,0.0011488931925804136,24,COMPLETE
23,0.1550508290529251,2025-06-02 17:25:14.446581,2025-06-02 17:30:23.222911,0 days 00:05:08.776330,0.016885018607734344,512,512,3,0.0005002589373519992,20,COMPLETE
