number,value,datetime_start,datetime_complete,duration,params_contrastive_weight,params_d_ff,params_d_model,params_e_layers,params_learning_rate,params_window_size,state
0,inf,2025-06-16 12:56:10.694985,2025-06-16 12:56:15.506430,0 days 00:00:04.811445,0.0005236349475628183,256,512,4,0.00035258266874331235,5,COMPLETE
1,,2025-06-16 12:56:15.531378,2025-06-16 12:56:26.185286,0 days 00:00:10.653908,0.00043378691496835,256,512,2,0.00018713090011238172,8,FAIL
2,66.29481506347656,2025-06-16 12:57:24.745079,2025-06-16 12:58:26.375303,0 days 00:01:01.630224,0.0004850165994484184,256,256,3,0.00029171774714633865,12,COMPLETE
3,65.69017791748047,2025-06-16 12:58:26.398174,2025-06-16 12:59:38.482411,0 days 00:01:12.084237,0.0037705831371860742,256,512,4,0.00019274910307646664,12,COMPLETE
4,65.12495422363281,2025-06-16 12:59:38.503557,2025-06-16 13:01:37.349777,0 days 00:01:58.846220,0.049989608238886325,512,256,3,0.00017293610363242732,2,COMPLETE
5,65.43172454833984,2025-06-16 13:01:37.370258,2025-06-16 13:03:01.134346,0 days 00:01:23.764088,0.003655736398836548,256,512,2,7.157931769566425e-05,11,COMPLETE
6,63.619544982910156,2025-06-16 13:03:01.155790,2025-06-16 13:04:04.200104,0 days 00:01:03.044314,0.0004921190622201427,256,256,2,0.00033670243556594917,3,COMPLETE
7,66.68849182128906,2025-06-16 13:04:04.221651,2025-06-16 13:04:59.875075,0 days 00:00:55.653424,0.000779064221748591,256,256,2,0.0007713170248131362,5,COMPLETE
8,64.74457550048828,2025-06-16 13:04:59.896133,2025-06-16 13:07:00.858003,0 days 00:02:00.961870,0.0072478451777829404,256,512,2,5.409548328554571e-05,2,COMPLETE
9,65.01712036132812,2025-06-16 13:07:00.879000,2025-06-16 13:08:14.366444,0 days 00:01:13.487444,0.0005679231180688343,256,256,4,6.278492712494497e-05,5,COMPLETE
