========================================
Antarctic_Heat 调参结果汇总
生成时间: 2026-04-23 15:14:15
========================================

格式: window_size | contrastive_weight | learning_rate | MSE | MAE | best_epoch
--------------------------------------------------------------------------------
12 | 0.00001 | 0.0001 | 0.1538580358028412 | 0.2700974941253662 | N/A
12 | 0.00001 | 0.0002 | 0.15672272443771362 | 0.27367401123046875 | N/A
12 | 0.00001 | 0.0005 | 0.1561552733182907 | 0.2734152376651764 | N/A
12 | 0.00001 | 0.0012 | 0.15867342054843903 | 0.27430567145347595 | N/A
12 | 0.00001 | 0.001 | 0.16095338761806488 | 0.27656859159469604 | N/A
12 | 0.00001 | 0.002 | 0.16710792481899261 | 0.2760132849216461 | N/A
12 | 0.00005 | 0.0001 | 0.15384721755981445 | 0.2700903117656708 | N/A
12 | 0.00005 | 0.0002 | 0.15669579803943634 | 0.27363133430480957 | N/A
12 | 0.00005 | 0.0005 | 0.15617528557777405 | 0.27346715331077576 | N/A
12 | 0.00005 | 0.0012 | 0.1619875133037567 | 0.2772485613822937 | N/A
12 | 0.00005 | 0.001 | 0.1613251119852066 | 0.27648770809173584 | N/A
12 | 0.00005 | 0.002 | 0.16797125339508057 | 0.27690792083740234 | N/A
12 | 0.0001 | 0.0001 | 0.15383289754390717 | 0.27006831765174866 | N/A
12 | 0.0001 | 0.0002 | 0.15659062564373016 | 0.27354225516319275 | N/A
12 | 0.0001 | 0.0005 | 0.15618915855884552 | 0.27348488569259644 | N/A
12 | 0.0001 | 0.0012 | 0.16010841727256775 | 0.27581703662872314 | N/A
12 | 0.0001 | 0.001 | 0.15692396461963654 | 0.27293530106544495 | N/A
12 | 0.0001 | 0.002 | 0.16632850468158722 | 0.2748560607433319 | N/A
12 | 0.0005 | 0.0001 | 0.1538815200328827 | 0.270101398229599 | N/A
12 | 0.0005 | 0.0002 | 0.15654464066028595 | 0.27324315905570984 | N/A
12 | 0.0005 | 0.0005 | 0.15622873604297638 | 0.2735586166381836 | N/A
12 | 0.0005 | 0.0012 | 0.15818063914775848 | 0.2741320729255676 | N/A
12 | 0.0005 | 0.001 | 0.15921731293201447 | 0.27374398708343506 | N/A
12 | 0.0005 | 0.002 | 0.16918188333511353 | 0.2777792811393738 | N/A
12 | 0.001 | 0.0001 | 0.15378521382808685 | 0.2700970768928528 | N/A
12 | 0.001 | 0.0002 | 0.15650464594364166 | 0.2730135917663574 | N/A
12 | 0.001 | 0.0005 | 0.15575747191905975 | 0.27307137846946716 | N/A
12 | 0.001 | 0.0012 | 0.15907296538352966 | 0.2746301591396332 | N/A
12 | 0.001 | 0.001 | 0.15771634876728058 | 0.2740231156349182 | N/A
12 | 0.001 | 0.002 | 0.16587872803211212 | 0.27453848719596863 | N/A
12 | 0.005 | 0.0001 | 0.15452435612678528 | 0.27122148871421814 | N/A
12 | 0.005 | 0.0002 | 0.15713809430599213 | 0.2736812233924866 | N/A
12 | 0.005 | 0.0005 | 0.15519945323467255 | 0.27173224091529846 | N/A
12 | 0.005 | 0.0012 | 0.15482331812381744 | 0.271573543548584 | N/A
12 | 0.005 | 0.001 | 0.15825404226779938 | 0.27346140146255493 | N/A
12 | 0.005 | 0.002 | 0.17000515758991241 | 0.2786038815975189 | N/A
12 | 0.01 | 0.0001 | 0.15497757494449615 | 0.2716398537158966 | N/A
12 | 0.01 | 0.0002 | 0.1573917418718338 | 0.2739614248275757 | N/A
12 | 0.01 | 0.0005 | 0.1558898240327835 | 0.2721678614616394 | N/A
12 | 0.01 | 0.0012 | 0.15709008276462555 | 0.27345216274261475 | N/A
12 | 0.01 | 0.001 | 0.1571570634841919 | 0.27316814661026 | N/A
12 | 0.01 | 0.002 | 0.17125354707241058 | 0.2794431447982788 | N/A
15 | 0.00001 | 0.0001 | 0.1524500697851181 | 0.270781934261322 | N/A
15 | 0.00001 | 0.0002 | 0.15315398573875427 | 0.2699998617172241 | N/A
15 | 0.00001 | 0.0005 | 0.15604645013809204 | 0.2715698480606079 | N/A
15 | 0.00001 | 0.0012 | 0.16043774783611298 | 0.2742895185947418 | N/A
15 | 0.00001 | 0.001 | 0.16126024723052979 | 0.27565234899520874 | N/A
15 | 0.00001 | 0.002 | 0.1604040116071701 | 0.2708319127559662 | N/A
15 | 0.00005 | 0.0001 | 0.15244486927986145 | 0.2708241939544678 | N/A
15 | 0.00005 | 0.0002 | 0.15323403477668762 | 0.2701004147529602 | N/A
15 | 0.00005 | 0.0005 | 0.15607775747776031 | 0.2716301679611206 | N/A
15 | 0.00005 | 0.0012 | 0.16106164455413818 | 0.2753133773803711 | N/A
15 | 0.00005 | 0.001 | 0.1610621213912964 | 0.2760404348373413 | N/A
15 | 0.00005 | 0.002 | 0.1618029922246933 | 0.27166613936424255 | N/A
15 | 0.0001 | 0.0001 | 0.15241606533527374 | 0.2708643674850464 | N/A
15 | 0.0001 | 0.0002 | 0.15317972004413605 | 0.2701212167739868 | N/A
15 | 0.0001 | 0.0005 | 0.15579713881015778 | 0.2713926434516907 | N/A
15 | 0.0001 | 0.0012 | 0.16088370978832245 | 0.2758079767227173 | N/A
15 | 0.0001 | 0.001 | 0.15943217277526855 | 0.27351945638656616 | N/A
15 | 0.0001 | 0.002 | 0.16138891875743866 | 0.2712785601615906 | N/A
15 | 0.0005 | 0.0001 | 0.1526748538017273 | 0.27137547731399536 | N/A
15 | 0.0005 | 0.0002 | 0.1538289189338684 | 0.2713870704174042 | N/A
15 | 0.0005 | 0.0005 | 0.15581975877285004 | 0.27137523889541626 | N/A
15 | 0.0005 | 0.0012 | 0.1631995439529419 | 0.276671439409256 | N/A
15 | 0.0005 | 0.001 | 0.15606191754341125 | 0.2718740999698639 | N/A
15 | 0.0005 | 0.002 | 0.16087813675403595 | 0.27151694893836975 | N/A
15 | 0.001 | 0.0001 | 0.1532101035118103 | 0.27080509066581726 | N/A
15 | 0.001 | 0.0002 | 0.15375390648841858 | 0.27154257893562317 | N/A
15 | 0.001 | 0.0005 | 0.15637850761413574 | 0.271670401096344 | N/A
